index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
2, 2021/12/06 10:40:44.805, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:40:44.807, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:40:44.809, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:40:44.811, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:40:44.813, 55.57 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:40:44.815, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:40:49.817, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:40:49.819, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:40:49.821, 54.11 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:40:49.823, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:40:49.825, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:40:49.826, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:40:49.828, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:40:49.830, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:40:54.832, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:40:54.834, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:40:54.836, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:40:54.838, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:40:54.840, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:40:54.842, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:40:54.844, 55.57 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:40:54.846, 54.04 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:40:59.848, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:40:59.850, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:40:59.852, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:40:59.853, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:40:59.855, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:40:59.857, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:40:59.859, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:40:59.861, 54.04 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:41:04.863, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:41:04.865, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:41:04.867, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:41:04.869, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:41:04.871, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:41:04.872, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:41:04.874, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:41:04.876, 54.04 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:41:09.878, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:41:09.880, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:41:09.882, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:41:09.884, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:41:09.886, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:41:09.888, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:41:09.890, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
7, 2021/12/06 10:41:09.891, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:41:14.894, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 1084 MiB, 31426 MiB
1, 2021/12/06 10:41:14.896, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 1084 MiB, 31426 MiB
2, 2021/12/06 10:41:14.897, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
3, 2021/12/06 10:41:14.899, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:41:14.902, 55.01 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
5, 2021/12/06 10:41:14.905, 56.51 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:41:14.907, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 1 %, 0 %, 32, P0, 32510 MiB, 862 MiB, 31648 MiB
7, 2021/12/06 10:41:14.909, 54.04 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 1084 MiB, 31426 MiB
0, 2021/12/06 10:41:19.911, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:19.913, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 4 %, 0 %, 32, P0, 32510 MiB, 828 MiB, 31682 MiB
2, 2021/12/06 10:41:19.915, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:19.917, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 1084 MiB, 31426 MiB
4, 2021/12/06 10:41:19.918, 64.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:19.921, 56.47 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 1084 MiB, 31426 MiB
6, 2021/12/06 10:41:19.923, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:19.925, 53.07 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:24.928, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:24.930, 63.80 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
2, 2021/12/06 10:41:24.932, 58.49 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:24.935, 63.27 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
4, 2021/12/06 10:41:24.937, 64.20 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:24.939, 61.33 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 774 MiB, 31736 MiB
6, 2021/12/06 10:41:24.941, 59.91 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:24.943, 57.89 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:29.945, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:29.947, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
2, 2021/12/06 10:41:29.948, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:29.950, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
4, 2021/12/06 10:41:29.952, 64.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:29.954, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
6, 2021/12/06 10:41:29.956, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:29.958, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:34.960, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:34.962, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
2, 2021/12/06 10:41:34.963, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:34.965, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
4, 2021/12/06 10:41:34.967, 64.73 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:34.969, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
6, 2021/12/06 10:41:34.971, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:34.973, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:39.975, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:39.977, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
