index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
7, 2021/11/18 11:32:32.460, 66.18 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 8 %, 3 %, 41, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:32:37.462, 227.89 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 99 %, 71 %, 43, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:32:37.476, 168.61 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A], 90 %, 52 %, 49, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:32:37.478, 149.05 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 90 %, 56 %, 53, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:32:37.479, 144.01 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 90 %, 52 %, 45, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:32:37.481, 129.79 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 88 %, 52 %, 42, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:32:37.483, 131.50 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A], 90 %, 56 %, 51, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:32:37.485, 118.49 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 89 %, 53 %, 48, P0, 32510 MiB, 25226 MiB, 7284 MiB
7, 2021/11/18 11:32:37.487, 107.75 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 89 %, 55 %, 44, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:32:42.489, 251.03 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 14 %, 11 %, 41, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:32:42.491, 250.09 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 15 %, 11 %, 48, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:32:42.493, 233.66 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 30 %, 21 %, 51, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:32:42.495, 248.31 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 6 %, 3 %, 42, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:32:42.497, 250.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 70 %, 46 %, 41, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:32:42.499, 266.45 W, 1500 MHz, 877 MHz, 1500 MHz, [N/A], 17 %, 13 %, 49, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:32:42.500, 256.84 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 26 %, 19 %, 47, P0, 32510 MiB, 25226 MiB, 7284 MiB
7, 2021/11/18 11:32:42.503, 257.61 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 26 %, 19 %, 43, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:32:47.505, 131.33 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:32:47.507, 162.32 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 44, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:32:47.509, 181.80 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 47, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:32:47.511, 185.31 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:32:47.513, 197.23 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:32:47.515, 224.66 W, 1492 MHz, 877 MHz, 1492 MHz, [N/A], 0 %, 0 %, 46, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:32:47.517, 208.86 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 45, P0, 32510 MiB, 25226 MiB, 7284 MiB
7, 2021/11/18 11:32:47.519, 225.66 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 40, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:32:52.521, 65.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:32:52.523, 66.76 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 44, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:32:52.525, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 47, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:32:52.527, 65.74 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:32:52.529, 67.64 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:32:52.530, 68.66 W, 1492 MHz, 877 MHz, 1492 MHz, [N/A], 0 %, 0 %, 46, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:32:52.532, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 44, P0, 32510 MiB, 25226 MiB, 7284 MiB
7, 2021/11/18 11:32:52.534, 65.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:32:57.536, 65.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:32:57.538, 66.76 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 44, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:32:57.540, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 48, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:32:57.542, 65.74 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:32:57.544, 67.64 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:32:57.546, 71.57 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 46, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:32:57.548, 68.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 44, P0, 32510 MiB, 25226 MiB, 7284 MiB
7, 2021/11/18 11:32:57.550, 65.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 40, P0, 32510 MiB, 27168 MiB, 5342 MiB
0, 2021/11/18 11:33:02.552, 65.70 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 30 %, 18 %, 39, P0, 32510 MiB, 25550 MiB, 6960 MiB
1, 2021/11/18 11:33:02.554, 67.25 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 22 %, 10 %, 45, P0, 32510 MiB, 26984 MiB, 5526 MiB
2, 2021/11/18 11:33:02.556, 69.19 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 49, P0, 32510 MiB, 27188 MiB, 5322 MiB
3, 2021/11/18 11:33:02.558, 66.23 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 35 %, 20 %, 40, P0, 32510 MiB, 26796 MiB, 5714 MiB
4, 2021/11/18 11:33:02.559, 67.64 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 27112 MiB, 5398 MiB
5, 2021/11/18 11:33:02.561, 69.63 W, 1500 MHz, 877 MHz, 1500 MHz, [N/A], 5 %, 2 %, 47, P0, 32510 MiB, 26708 MiB, 5802 MiB
6, 2021/11/18 11:33:02.563, 68.66 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 8 %, 3 %, 45, P0, 32510 MiB, 25226 MiB, 7284 MiB
