index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
6, 2021/11/16 16:05:59.680, 65.26 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 37, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:05:59.682, 62.26 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:04.684, 68.49 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:04.686, 66.61 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:04.688, 69.03 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:04.690, 67.06 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:04.692, 66.52 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:04.694, 64.10 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:04.696, 65.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:04.699, 62.55 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:09.701, 68.49 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:09.703, 67.10 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 12 %, 7 %, 36, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:09.705, 69.03 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 43 %, 23 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:09.707, 67.06 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:09.710, 66.52 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 7 %, 3 %, 32, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:09.712, 64.10 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 24 %, 13 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:09.713, 65.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 31 %, 17 %, 38, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:09.715, 63.08 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:14.717, 83.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:14.719, 100.19 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:14.721, 103.94 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:14.723, 118.98 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 2 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:14.725, 119.71 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:14.727, 120.43 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:14.729, 133.62 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 37, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:14.731, 131.76 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:19.733, 68.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:19.735, 67.69 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
