index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
3, 2022/05/12 14:32:54.032, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:32:54.033, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:32:54.035, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:32:54.037, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:32:54.039, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:32:59.042, 162.04 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:32:59.044, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:32:59.046, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:32:59.048, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:32:59.050, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:32:59.052, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:32:59.054, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:32:59.056, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:33:04.058, 169.69 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:33:04.060, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:33:04.062, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:33:04.064, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:33:04.066, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:33:04.068, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:33:04.070, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:33:04.072, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:33:09.074, 172.48 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:33:09.076, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32507,3
2, 2022/05/12 14:33:09.078, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:33:09.080, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:33:09.082, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32507,3
5, 2022/05/12 14:33:09.084, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:33:09.085, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:33:09.088, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:33:14.090, 182.16 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:33:14.092, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:33:14.094, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:33:14.096, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:33:14.098, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:33:14.100, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:33:14.102, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:33:14.103, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:33:19.106, 151.38 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],91%,28%,45, P0,32510,27673,4837
1, 2022/05/12 14:33:19.109, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:33:19.111, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:33:19.113, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:33:19.115, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:33:19.117, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:33:19.118, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:33:19.120, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:33:24.123, 190.88 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],75%,18%,46, P0,32510,29650,2860
1, 2022/05/12 14:33:24.125, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:24.127, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:24.128, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:24.130, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:24.132, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:24.136, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:24.138, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:29.140, 169.21 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],61%,16%,44, P0,32510,29650,2860
1, 2022/05/12 14:33:29.142, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:29.144, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:29.146, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:29.148, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:29.150, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:29.152, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:29.154, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:34.156, 97.21 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],64%,16%,44, P0,32510,29650,2860
1, 2022/05/12 14:33:34.158, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:34.160, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:34.162, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:34.165, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:34.167, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:34.169, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:34.170, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:39.173, 102.97 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],61%,15%,44, P0,32510,29650,2860
1, 2022/05/12 14:33:39.175, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:39.177, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:39.179, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:39.180, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:39.182, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:39.184, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:39.186, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:44.188, 187.01 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],63%,15%,44, P0,32510,29650,2860
1, 2022/05/12 14:33:44.190, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:44.192, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:44.194, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:44.196, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:44.198, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:44.200, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:44.203, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:49.205, 69.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],55%,13%,42, P0,32510,29650,2860
1, 2022/05/12 14:33:49.207, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:49.209, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:49.211, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:49.213, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:49.215, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:49.218, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:49.219, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:54.222, 128.59 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],44%,7%,40, P0,32510,29650,2860
1, 2022/05/12 14:33:54.223, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:54.226, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:54.228, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:54.230, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:54.232, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:54.234, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:54.236, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:33:59.238, 72.01 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],43%,5%,39, P0,32510,29650,2860
1, 2022/05/12 14:33:59.240, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32510,0
2, 2022/05/12 14:33:59.242, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:33:59.244, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:33:59.246, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:33:59.249, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:33:59.252, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:33:59.254, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:04.256, 79.79 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],40%,3%,39, P0,32510,29586,2924
1, 2022/05/12 14:34:04.258, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:04.260, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:04.262, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:04.264, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:04.266, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:04.268, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:04.270, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:09.272, 121.89 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],46%,7%,38, P0,32510,29586,2924
1, 2022/05/12 14:34:09.274, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:09.276, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:09.278, 39.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:09.281, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:09.283, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:09.285, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:09.287, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:14.289, 70.56 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],46%,8%,38, P0,32510,29586,2924
1, 2022/05/12 14:34:14.291, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:14.293, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:14.295, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:14.297, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:14.299, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:14.301, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:14.302, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:19.305, 85.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],44%,5%,37, P0,32510,29586,2924
1, 2022/05/12 14:34:19.307, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:19.308, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:19.310, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:19.312, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:19.314, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:19.316, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:19.318, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:24.320, 81.73 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],49%,9%,36, P0,32510,29586,2924
1, 2022/05/12 14:34:24.322, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:24.324, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:24.326, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:24.328, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:24.331, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:24.332, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:24.334, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:29.337, 176.96 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],43%,5%,37, P0,32510,29586,2924
1, 2022/05/12 14:34:29.338, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:29.340, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:29.342, 39.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:29.345, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:29.347, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:29.349, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:29.351, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:34.353, 127.22 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],45%,7%,36, P0,32510,29586,2924
1, 2022/05/12 14:34:34.355, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:34.357, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:34.359, 39.52 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:34.361, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:34.363, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:34.365, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:34.367, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:39.369, 66.18 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],34%,4%,35, P0,32510,29586,2924
1, 2022/05/12 14:34:39.371, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:39.373, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:39.375, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:39.377, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:39.379, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:39.381, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:39.384, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:44.386, 65.21 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],30%,2%,35, P0,32510,29586,2924
1, 2022/05/12 14:34:44.388, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32510,0
2, 2022/05/12 14:34:44.390, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:44.392, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:44.395, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:44.397, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:44.399, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:44.401, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:49.403, 117.52 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],46%,6%,35, P0,32510,29586,2924
1, 2022/05/12 14:34:49.406, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,32, P0,32510,32510,0
2, 2022/05/12 14:34:49.408, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:49.410, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:49.412, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:49.414, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:49.416, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:49.418, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:34:54.420, 72.01 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],44%,5%,35, P0,32510,29586,2924
1, 2022/05/12 14:34:54.422, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,32, P0,32510,32510,0
2, 2022/05/12 14:34:54.423, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:34:54.425, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:34:54.427, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:34:54.429, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
6, 2022/05/12 14:34:54.431, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
7, 2022/05/12 14:34:54.433, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
