index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
3, 2022/05/12 14:08:54.363, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:08:54.365, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:08:54.367, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:08:54.369, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:08:54.371, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:08:59.373, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:08:59.375, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:59.377, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:59.379, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:08:59.380, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:08:59.382, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:08:59.384, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:08:59.386, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:04.390, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:09:04.392, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:09:04.393, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:09:04.395, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:09:04.397, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:09:04.399, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:09:04.401, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:09:04.403, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:09.405, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:09:09.407, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
2, 2022/05/12 14:09:09.409, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:09:09.410, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:09:09.412, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:09:09.414, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:09:09.416, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:09:09.418, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:14.420, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:09:14.422, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
2, 2022/05/12 14:09:14.424, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
3, 2022/05/12 14:09:14.426, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:09:14.427, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:09:14.429, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:09:14.431, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:09:14.433, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:19.435, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:09:19.437, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
2, 2022/05/12 14:09:19.439, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:09:19.441, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:09:19.443, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:09:19.445, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:09:19.447, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:09:19.449, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:24.451, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32507,3
1, 2022/05/12 14:09:24.453, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:24.456, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:24.458, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:24.461, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:09:24.463, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:09:24.466, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:09:24.473, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
0, 2022/05/12 14:09:29.476, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],1%,0%,27, P0,32510,31810,700
1, 2022/05/12 14:09:29.479, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:29.481, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:29.483, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:29.484, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:29.487, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
