index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
7, 2021/11/18 10:49:39.858, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:49:44.860, 60.36 W, 1470 MHz, 877 MHz, 1470 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:49:44.863, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:49:44.865, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:49:44.867, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:49:44.869, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:49:44.871, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:49:44.873, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:49:44.874, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:49:49.876, 60.36 W, 1470 MHz, 877 MHz, 1470 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:49:49.878, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:49:49.880, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:49:49.883, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:49:49.885, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:49:49.887, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:49:49.889, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:49:49.891, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:49:54.893, 60.36 W, 1470 MHz, 877 MHz, 1470 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:49:54.895, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:49:54.897, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:49:54.899, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:49:54.900, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:49:54.902, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:49:54.904, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:49:54.906, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:49:59.908, 62.30 W, 1507 MHz, 877 MHz, 1507 MHz, [N/A], 39 %, 22 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:49:59.910, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:49:59.913, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:49:59.915, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 20 %, 6 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:49:59.916, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 15 %, 4 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:49:59.918, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:49:59.921, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:49:59.922, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 22 %, 7 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:04.925, 211.90 W, 1507 MHz, 877 MHz, 1507 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:04.927, 80.65 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:04.929, 87.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:04.930, 96.66 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:04.932, 100.41 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:04.934, 97.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:04.936, 89.44 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:04.938, 83.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:09.940, 62.78 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:09.942, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:09.944, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:09.946, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:09.948, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:09.949, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:09.951, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:09.953, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:14.958, 72.50 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 5 %, 1 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:14.960, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 7 %, 2 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:14.961, 55.57 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:14.963, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:14.965, 55.98 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:14.967, 56.99 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 3 %, 1 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:14.969, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:14.971, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:19.973, 63.27 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:19.975, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:19.977, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:19.979, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:19.981, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:19.983, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:19.985, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:19.987, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:24.989, 63.27 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
