index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 18:45:01.157, 266.39 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,61%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:01.159, 239.40 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,60%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:01.160, 256.67 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],95%,54%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:01.162, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:01.164, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:45:01.166, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:45:01.167, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:45:01.169, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:45:06.175, 193.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,63%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:06.177, 211.35 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,54%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:06.179, 229.40 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],100%,57%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:06.181, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:06.182, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:45:06.185, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:45:06.186, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
